p,alga,lv,lv_s,lv_v,nonlv,mult,cits
(Senior) Transaction Monitoring Analyst/ (Vecākais/-ā) darījumu uzraudzības analītiķis/-e,2875,,,,,x,
.NET Team Lead / .NET komandas vadītājs/-a,6250,,,,,x,
.NET Team Lead / .NET komandas vadītājs/-a,6250,,,,,x,
.NET un REACT programmētājs/-a,2500,x,,,,,
2. līmeņa IT atbalsta speciālists/-e,2250,x,,,,,
ADMINISTRATĪVAIS VADĪTĀJS-/A,3000,x,,,,,
ADMINISTRATĪVAIS VADĪTĀJS-/A,3000,x,,,,,
AVK/ŪKT izbūves darbu projektu vadītājs/-a,3450,x,,,,,
Add-on (papildus produktu) nodaļas darbinieks/-ce,240,x,,,,,
Administratore/-s,1600,x,,,,,
Administrators/-e,1450,x,,,,,
Administrators/-e,1000,x,,,,,
Administrators/-e,1450,x,,,,,
Administrators/-e - Lietvedis/-e,1075,x,,,,,
Administrators/-e - Lietvedis/-e,1075,x,,,,,
Administratīvais asistents/-e ar pieredzi sociālo mediju un juridiskajā jomā,3666,x,,,,,
Administratīvais asistents/e uz noteiktu laiku – 6 mēnešiem,1400,x,,,,,
Administratīvais/-ā asistents/-e,1500,x,,,,,
Administratīvo pārkāpumu lietu izskatīšanas nodaļas vecākais/-ā inspektors/-e,1439,x,,,,,
Algu grāmatvedis/-e,2000,x,,,,,
Analītiķis/-e Finanšu analīzes un finanšu risku vadības pārvaldē,2400,x,,,,,
Apdares materiālu pārdošanas speciālists/-e,1890,x,,,,,
Apdares materiālu pārdošanas speciālists/-e,1890,x,,,,,
Apdrošināšanas brokera palīgs/-dze,1200,x,,,,,
Apdrošināšanas konsultants/-e Bauskā,1025,x,,,,,
Apdrošināšanas konsultants/-e Gulbenē,1025,x,,,,,
Apdrošināšanas konsultants/-e Jelgavā,1025,x,,,,,
"Apdrošināšanas konsultants/-e Teikas nodaļā, Rīgā",1050,x,,,,,
Apdrošināšanas konsultants/-e Tukumā,1025,x,,,,,
Apdrošināšanas konsultants/-e Valkā,1025,x,,,,,
"Apdrošināšanas konsultants/-e tirdzniecības centros ""Akropole Alfa"", ""Sāga"", ""Spice""",1050,x,,,,,
Apdrošināšanas speciālists(-e) Nedzīvības apdrošināšanas biznesa atbalsta nodaļā,1600,x,,,,,
Apdrošināšanas speciālists(-e) Nedzīvības apdrošināšanas klientu atbalsta nodaļā,1600,x,,,,,
Apdrošināšanas speciālists/-e / Brokera palīgs/-dze,1500,x,,,,,
Apkopes nodaļas vadītāja asistente/-s,1600,x,,,,,
Apkures iekārtu operators/-e,200,x,,,,,
"Apkures, ventilācijas un gaisa dzesēšanas sistēmu inženieris/-e",2400,x,,,,,
Apmaksātas studijas Farmaceita asistentiem/-ēm,200,x,,,,,
Apple produktu eksperts/-e,1900,x,,,,,
Apsaimniekošanas uzņēmuma vadītāja asistents/-e,1700,x,,,,,
Apsardzes inspektors/e,200,x,,,,,
Aptiekas vadītājs/-a,440,x,,,,,
Arhitekts/-e,3570,x,,,,,
Arhitekts/-e,2650,x,,,,,
Arhitekts/-e,3000,x,,,,,
Arhitekts/-e,3000,x,,,,,
Arhitekts/e - Projektētājs/a,2150,x,,,,,
Asistenta pakalpojuma pašvaldībā administrēšanas nodaļas vadītāja vietnieks/-ce,1900,x,,,,,
Asistenta pakalpojuma pašvaldībā administrēšanas nodaļas vadītājs/-a,2200,x,,,,,
Asistents/-e,1150,x,,,,,
Asistents/-e (Daily banking),1100,x,,,,,
Asistents/-e Projektu vadības daļā,1500,x,,,,,
Asistents/-e klientu apkalpošanas nodaļā,1000,x,,,,,
Asistents/-e kravu pārvadājumu organizēšanā,1850,x,,,,,
Asistents/-e transporta plānošanas nodaļā,1000,x,,,,,
Atbalsta operators/  e,1400,x,,,,,
Atbalsta speciālists/-e,1000,x,,,,,
Atbildīgās amatpersonas vietnieks/-ce,2250,x,,,,,
Atbildīgās amatpersonas vietnieks/-ce,2250,x,,,,,
Atbilstības un AML vadītājs/-a,3355,x,,,,,
Atbilstības un AML vadītājs/-a,3355,x,,,,,
Atgriezto preču un taras pieņēmējs/-a,1173,x,,,,,
Atlīdzību administrators/-e,1150,x,,,,,
Atlīdzību administrēšanas speciālists/-e,1250,x,,,,,
Attīstības tehnologs/-ģe,1400,x,,,,,
Attīstības tehnologs/-ģe,1400,x,,,,,
Aukstuma iekārtu tehniķis/-e,1800,x,,,,,
Auto virsbūves remonta tāmētājs (-a),1536,x,,,,,
Auto virsbūves remontatslēdznieks (-ce),1700,x,,,,,
Autoatslēdznieks/-ce,1495,x,,,,,
Autoelektriķis/-e,2300,x,,,,,
Automašīnu rezerves daļu pārdevējs (-a) BMW/ MINI/ BMW Motorrad autocentrā,1650,x,,,,,
Automašīnu rezerves daļu pārdevējs/ - a Ford / Mazda autocentrā,2000,x,,,,,
Automehāniķis (-e),1820,x,,,,,
Automehāniķis/-e,2450,x,,,,,
Automobiļu reģistrators/-e,2000,x,,,,,
Autoparka attīstības vadītājs/-a,3750,x,,,,,
Autoparka attīstības vadītājs/-a,3750,x,,,,,
Autoparka tehniskais speciālists/-e (ar vācu valodas zināšanām),2000,x,,,,,
Autoparka tehniskais speciālists/-e (ar vācu valodas zināšanām),2000,x,,,,,
Autosalona administrators (-e),1150,x,,,,,
Autoservisa konsultants/-e/ transportlīdzekļu pieņēmējs/-a,1700,x,,,,,
Avio pārvadājumu loģistikas speciālists/-e,1500,x,,,,,
Avio un jūras pārvadājumu speciālists/-e,2000,x,,,,,
Aviācijas drošības inspektors/-e,240,x,,,,,
B2B Pārdošanas speciālists/-e,2750,x,,,,,
B2B Pārdošanas vadītājs/-a,1700,x,,,,,
B2B projektu menedžeris/-e (B2B Project Manager),1400,,,,,x,
BIS datu ievades operators/ -e,1400,x,,,,,
BIS datu ievades operators/ -e,1400,x,,,,,
Back-end programmētājs/a,3150,x,,,,,
Back-end programmētājs/a,3150,x,,,,,
Baņķieris/-e,3000,x,,,,,
Bibliotekārs/-e (20 stundas nedēļā),400,x,,,,,
Biedru attiecību vadītājs/-a,1650,x,,,,,
Bilancspējīga grāmatvede/-is,2000,x,,,,,
Bilancspējīgs grāmatvedis/-e,2000,x,,,,,
Bilancspējīgs grāmatvedis/-e,2000,x,,,,,
Bilancspējīgs grāmatvedis/-e,2100,x,,,,,
Bilancspējīgs grāmatvedis/-e,2500,x,,,,,
Biroja Administratore/-s (LIETVEDE/-S),1300,x,,,,,
Biroja administratore/-s,1850,x,,,,,
Biroja administrators(-e),1150,x,,,,,
Biroja administrators(e)/Lietvedis(e),1450,x,,,,,
Biroja administrators/-e,1550,x,,,,,
Biroja administrators/-e,1500,x,,,,,
Biroja administrators/-e,1000,x,,,,,
Biroja administrators/-e,1050,x,,,,,
Biroja administrators/-e,1800,x,,,,,
Biroja administrators/-e,1800,x,,,,,
Biroja administrators/-e (uz noteiktu laiku),1400,x,,,,,
Biroja sekretāre/-s,1320,x,,,,,
Biroja vadītājs-/a,1400,x,,,,,
Biroja vadītājs/-a,1500,x,,,,,
Biroja vadītājs/-a,1200,x,,,,,
Biroja vadītājs/-a,1250,x,,,,,
Biroja vadītājs/-a,1200,x,,,,,
Biroja vadītājs/-a,1250,x,,,,,
Bistro un Zviedrijas pārtikas veikala darbinieks/-ce,240,x,,,,,
Bite One IT biznesa klientu vadītājs/-a,2750,x,,,,,
Bite One IT biznesa klientu vadītājs/-a,2750,x,,,,,
Bite One IT risinājumu projektu vadītājs/-a,3250,x,,,,,
Biznesa SISTĒMU konsultants/-e,2400,x,,,,,
Biznesa analītiķis-e,3150,x,,,,,
Biznesa analītiķis-e,3150,x,,,,,
Biznesa analītiķis/-e (IT),2750,x,,,,,
Biznesa analītiķis/-e (IT),2750,x,,,,,
Biznesa analītiķis/-ke,2000,x,,,,,
Biznesa attīstības vadītājs/-a Daugavpilī,1700,x,,,,,
Biznesa attīstības/Eskporta menedžeris/-e,2113,x,,,,,
Biznesa datu analītiķis/-e,2500,x,,,,,
Biznesa kontroles vadītājs/-a,2544,x,,,,,
Biznesa kontrolieris/-e,2000,x,,,,,
Biznesa kontrolieris/-e,2500,x,,,,,
Biznesa procesu pārvaldnieks/-ce,2000,x,,,,,
Biznesa procesu un sistēmu analītiķis/-e,2700,x,,,,,
Biznesa pārdošanas speciālists/-e darbam pa telefonu,1850,x,,,,,
Biznesa risinājumu izstrādes un attīstības daļas vadītājs/-a,4600,x,,,,,
Biznesa sistēmu galvenais lietotājs/-a,2226,x,,,,,
"Business Development Manager, Baltics / Biznesa attīstības vadītājs/-a Baltijā",4250,,,,,x,
"Business Development Manager, Baltics / Biznesa attīstības vadītājs/-a Baltijā",4250,,,,,x,
BŪVUZRAUGS/-DZE  ūdensapgādes un kanalizācijas būvdarbu būvuzraudzībā,2500,x,,,,,
BŪVUZRAUGS/-DZE  ūdensapgādes un kanalizācijas būvdarbu būvuzraudzībā,2500,x,,,,,
Būvdarbu vadītāja / projektu vadītāja asistents(-e),1750,x,,,,,
Būvdarbu vadītāja palīgs/-dze,1900,x,,,,,
Būvdarbu vadītāja palīgs/-dze,2114,x,,,,,
Būvdarbu vadītāja palīgs/-dze,1400,x,,,,,
Būvdarbu vadītāja palīgs/-dze,1400,x,,,,,
"Būvdarbu vadītāja palīgs/-dze (Madonā, Līvānos, Daugavpilī)",1650,x,,,,,
Būvdarbu vadītājs/-a,2200,x,,,,,
Būvdarbu vadītājs/-a,3207,x,,,,,
Būvdarbu vadītājs/-a,2475,x,,,,,
Būvdarbu vadītājs/-a,2500,x,,,,,
Būvdarbu vadītājs/-a,2500,x,,,,,
Būvdarbu vadītājs/-a,2550,x,,,,,
Būvdarbu vadītājs/-a,2550,x,,,,,
Būvdarbu vadītājs/-a,2500,x,,,,,
Būvdarbu vadītājs/-a,2550,x,,,,,
Būvdarbu vadītājs/-a,2550,x,,,,,
Būvdarbu vadītājs/-a (ELT un ESS būvdarbu vadīšana),2500,x,,,,,
Būvdarbu vadītājs/-a – (uz noteiktu laiku),5150,x,,,,,
Būvinženieris/-e,3000,x,,,,,
Būvinženieris/-e,2400,x,,,,,
"Būvkonstrukciju modelētājs/-a, rasētājs/-a",1600,x,,,,,
Būvniecības nodaļas vadītāja asistents/-e,1600,x,,,,,
Būvniecības nodaļas vadītāja asistents/-e,1600,x,,,,,
"Būvniecības projektu administrators/-e Madonā, Līvānos, Daugavpilī",1500,x,,,,,
Būvniecības projektu vadītājs/-a,3000,x,,,,,
Būvniecības projektu vadītājs/-a,2850,x,,,,,
Būvniecības projektu vadītājs/-a,2850,x,,,,,
Būvniecības projektu vadītājs/-e,3100,x,,,,,
Būvprojektu vadītājs/-a – (uz noteiktu laiku),5750,x,,,,,
Būvtehniķis/-e,1400,x,,,,,
Būvtehniķis/-e,1400,x,,,,,
C kategorijas autovadītjs/-a Rīgā,1955,x,,,,,
C kategorijas autovadītājs/-a Kuldīgā,1753,x,,,,,
C/C++ programmētājs/-a,2350,x,,,,,
CE kategorijas autovadītājs/-a Rīgā,1815,x,,,,,
CNC iekārtu operators/-e,1700,x,,,,,
CTO Vietnieks/-ce,6750,x,,,,,
Celtniecības un iekraušanas tehnikas MEHĀNIĶIS/-E,2500,x,,,,,
Ceļa būvniecības un inženiertīklu tāmētājs/-ja,1500,x,,,,,
Ceļu būvdarbu vadītājs/- a,2300,x,,,,,
Ceļu būvdarbu vadītājs/-a,2450,x,,,,,
Ceļu būvdarbu vadītājs/-a,2450,x,,,,,
Ceļu meistaru/i,1800,x,,,,,
Ceļu projektēšanas inženieris/-e,2600,x,,,,,
Ceļu projektēšanas inženieris/-e,2600,x,,,,,
Cilvēkresursu un uzņēmuma kultūras nodaļas biznesa partneris/-e,2100,x,,,,,
Customer Service/Sales Specialist / Klientu apkalpošanas/pārdošanas speciālists/-e,1590,x,,,,,
DEVOPS inženieris/-e Viedās uzskaites vadības centrā,2825,x,,,,,
DUNI vairumtirdzniecības bāzes vadītājs/-a,1800,x,,,,,
DWH Engineer / DWH inženieris/-e,3900,,,,,x,
DWH Engineer / DWH inženieris/-e,3900,,,,,x,
DWH Izstrādātājs/-a,3900,x,,,,,
Darba aizsardzības koordinators/-e (Latvijā),2200,x,,,,,
Darba aizsardzības koordinators/-e (Latvijā),2200,x,,,,,
"Darba aizsardzības koordinators/-e (Latvijā: Kuldīga, Rēzekne, Rīga)",2200,x,,,,,
"Darba aizsardzības koordinators/-e (Latvijā: Kuldīga, Rēzekne, Rīga)",2200,x,,,,,
"Darba aizsardzības koordinators/-e (Latvijā: Rēzekne, Kuldīga, Rīga)",2200,x,,,,,
"Darba aizsardzības koordinators/-e (Latvijā: Rēzekne, Kuldīga, Rīga)",2200,x,,,,,
Darba aizsardzības nodaļas vadītājs/-a,3250,x,,,,,
Darbinieku datu un pieredzes pētnieks/-ce,2050,x,,,,,
Darbinieku datu un pieredzes pētnieks/-ce,2050,x,,,,,
Darbu vadītājs/-a,2650,x,,,,,
Darījumu uzraudzības speciālists/-e  NILLTPFN jomā,1850,x,,,,,
Datorsistēmu inženieris/-e,1200,x,,,,,
Datorsistēmu tehniķis/-ķe,1350,x,,,,,
Datorsistēmu tehniķis/-ķe,1350,x,,,,,
Datu aizsardzības speciālists/-e,3750,x,,,,,
Datu aizsardzības speciālists/-e,3750,x,,,,,
Datu apstrādes speciālists/-e,1400,x,,,,,
Datu apstrādes speciālists/-e (SAP),1300,x,,,,,
Datu ievades operators/-e,1600,x,,,,,
Datu ievades un apstrādes speciālists/-e,1150,x,,,,,
Datu kvalitātes speciālists/-e Citadele Leasing,1800,x,,,,,
Datu operatore/-s,1047,x,,,,,
Datu pārvaldības un analīzes vadītājs/-a,2950,x,,,,,
Datu zinātnieks/-ce,2200,x,,,,,
Datubāzes administrators/-e,2500,x,,,,,
Departamenta direktora vietnieks/-ce STEM izglītības jautājumos,2500,x,,,,,
Digital Merchandiser / Digitālā mārketinga speciālists/-e,2250,,,,,x,
Digitālā mārketinga speciālists/-e,1800,x,,,,,
Digitālā mārketinga speciālists/-e,1500,x,,,,,
Digitālā mārketinga speciālists/-e,2000,x,,,,,
Digitālās drukas iekārtas operators/e (apmācība nodrošināta),1250,x,,,,,
Digitālās drukas iekārtas operators/e (apmācība nodrošināta),1250,x,,,,,
Digitālās reklāmas speciālists/-e,1500,x,,,,,
Direktors/-e,5000,x,,,,,
Direktors/-e,5000,x,,,,,
Drošuma un kvalitātes uzraudzības specialists/-e,2050,x,,,,,
Drošības sistēmu inženieris/-e Viedās uzskaites vadības centrā,2950,x,,,,,
E-komercijas klientu attiecību vadītājs/-a,1800,x,,,,,
E-komercijas noliktavas speciālists,240,,,x,,,
E-komercijas projektu vadītājs/-a,2000,x,,,,,
E-komercijas risku analītiķis/-e,2100,x,,,,,
EKONOMISTS/-E Finanšu pārvaldes Ekonomikas nodaļā,1258,x,,,,,
ERP konsultants/-e,2250,x,,,,,
ESS/ EST Projektētājs/ -a,1700,x,,,,,
Ekologs/-ģe,2000,x,,,,,
Ekonomists/-e,1760,x,,,,,
Ekonomists/-e,2250,x,,,,,
Eksperts/-e projektu atlases jomā,1644,x,,,,,
Eksperts/-e publisko iepirkumu jautājumos,1695,x,,,,,
Eksporta Mārketinga Attīstības Projektu Vadītājs/a (ar krievu valodas zināšanām),2750,x,,,,,
Eksporta klientu apkalpošanas speciālists/-e (ar angļu/ vācu valodas zināšanām),1600,x,,,,,
Eksporta menedžeris/-e,2100,x,,,,,
Eksporta projektu vadītājs/-a,1800,x,,,,,
Eksporta projektu vadītājs/-a,1800,x,,,,,
Eksporta pārdošanas projektu vadītājs/-a,3500,x,,,,,
Eksporta speciālists/-e,2000,x,,,,,
Eksporta speciālists/-e,2000,x,,,,,
Elektrisko sistēmu projektu vadītājs/-a,2900,x,,,,,
Elektro sadaļņu projektētājs/-a,1500,x,,,,,
Elektro sadaļņu projektētājs/-a,1500,x,,,,,
Elektroapgādes tīklu projektētājs/-a,2300,x,,,,,
Elektroapgādes un automatizācijas projektu inženieris/-e,2200,x,,,,,
Elektroiekrāvēja vadītājs/-a,1758,x,,,,,
Elektroinženieris/-e,1950,x,,,,,
Elektroinženieris/-e,1450,x,,,,,
Elektromontieris/-e,1800,x,,,,,
Elektronikas inženieris/-e,2150,x,,,,,
Elektronikas inženieris/-e darbam Inovatīvu produktu izstrādes nodaļā,1600,x,,,,,
Elektronikas regulētājs/-a,1750,x,,,,,
Elektronikas regulētājs/-a,1750,x,,,,,
Elektronikas tehniķis/-e,1350,x,,,,,
Elektronikas tehniķis/-e,1400,x,,,,,
Elektroniskā medija vadītājs/-a,2350,x,,,,,
Elektrotehnisko iekārtu elektroinženieris/e (elektroniķis),1900,x,,,,,
Embedded inženieris/-e (C++),2500,x,,,,,
Energopārvaldības inženieris/-e,2100,x,,,,,
Energosistēmu tehniķis/-e,1800,x,,,,,
Ergoterapeits/-e (2 vakances),1605,x,,,,,
Ergoterapeits/-e (2 vakances),1605,x,,,,,
Farmaceita asistents/-e,1900,x,,,,,
Farmaceiti/-es/Farmaceita asistenti/-es aptiekās Rīgā,1525,x,,,,,
Farmaceits/-e,2100,x,,,,,
Farmaceits/-e (produktu izstrādes un pētījumu projektu grupā),1850,x,,,,,
Farmaceits/-e / Farmaceita asistents/-e (Valmierā un Raunā),1550,x,,,,,
Farmaceits/-e / farmaceita asistents/-e Tukumā,1550,x,,,,,
Farmaceits/-e un Farmaceita asistents/-e Liepājā,1600,x,,,,,
Farmaceits/-e un Farmaceita asistents/-e Liepājā,1600,x,,,,,
"Farmaceits/-e un Farmaceita asistents/-e Rīgā, Rīgas rajonā",1500,x,,,,,
"Farmaceits/-e un Farmaceita asistents/-e Rīgā, Rīgas rajonā",1500,x,,,,,
Farmaceits/e un Farmaceita asistents/e Dobelē,1300,x,,,,,
Farmaceits/e un Farmaceita asistents/e Jelgavā (Darbs nedēļas nogalēs),1300,x,,,,,
Farmaceits/e un Farmaceita asistents/e Kuldīgā,1300,x,,,,,
Farmaceits/e un Farmaceita asistents/e Rēzeknē,1300,x,,,,,
Farmaceits/e un Farmaceita asistents/e Rēzeknē,1300,x,,,,,
Farmaceits/e un Farmaceita asistents/e Rīgā,1300,x,,,,,
"Farmaceits/e un Farmaceita asistents/e Rīgā, Sarkandaugavā",1300,x,,,,,
"Farmaceits/e un Farmaceita asistents/e Rīgā, Torņakalnā(Darbam nakts maiņās)",1300,x,,,,,
Farmaceits/e un Farmaceita asistents/e Tukumā,1300,x,,,,,
Farmaceits/e un Farmaceita asistents/e Tukumā,1300,x,,,,,
Farmaceits/e un Farmaceita asistents/e Ventspilī,1300,x,,,,,
Farmaceits/e un Farmaceita asistents/e visā Latvijā,1300,x,,,,,
Farmaceits/e un Farmaceita asistents/e Āgenskalnā,1300,x,,,,,
Field Service Engineer / Servisa inženieris/-e,1750,x,,,,,
Field Service Engineer / Servisa inženieris/-e,1750,x,,,,,
Finanšu analītiķi,2200,x,,,,,
Finanšu analītiķis/-e,3000,x,,,,,
Finanšu analītiķis/-e,2700,x,,,,,
Finanšu analītiķis/-e / Financial Analyst,2250,x,,,,,
Finanšu analītiķis/-e / Financial Analyst,2250,x,,,,,
Finanšu biznesa partneris/-e,3200,x,,,,,
Finanšu konsultants (-e) Kontaktu centra nodaļā,1700,x,,,,,
Finanšu konsultants (-e) Kontaktu centrā (pus slodze),1450,x,,,,,
Finanšu konsultants/-e,1950,x,,,,,
Finanšu konsultants/-e Rīgas Centra nodaļā,1300,x,,,,,
Finanšu konsultants/-e Rīgas Pārdaugavas nodaļā,1300,x,,,,,
Finanšu kontroles nodaļas vadītājs/-a,2550,x,,,,,
Finanšu kontrolieris/-e,2500,x,,,,,
Finanšu kontrolieris/-e,2500,x,,,,,
Finanšu kontrolieris/-e,2400,x,,,,,
Finanšu kontrolieris/-e analītiķis/-e,2500,x,,,,,
Finanšu pārskatu speciālists/-e,1800,x,,,,,
Finanšu riska auditors/-e,3300,x,,,,,
Fraud and Investigations Analyst/ Krāpniecisku darījumu izmeklēšanas un novēršanas analītiķis /-e,2000,,,,,x,
Front-end izstrādātājs/-a,3575,x,,,,,
Full-Stack programmētājs(-a) norēķinu (Billing) komandā,3300,x,,,,,
Full-stack izstrādātājs/-a,3500,x,,,,,
Full-stack programmētājs/-a,3850,x,,,,,
Funkcionālais/ā konsultants/e,3000,x,,,,,
Funkcionālais/ā konsultants/e,3000,x,,,,,
Gaisa Kuģa Mehāniķis/-e,1845,x,,,,,
Gaisa kuģu apkalpošanas aģents/-e,1200,x,,,,,
Galvenais grāmatvedis /-e,2500,x,,,,,
Galvenais grāmatvedis /-e,2500,x,,,,,
Galvenais grāmatvedis/-e,2500,x,,,,,
Galvenais grāmatvedis/-e,4400,x,,,,,
Galvenais grāmatvedis/-e,2769,x,,,,,
Galvenais grāmatvedis/-e,3000,x,,,,,
Galvenais grāmatvedis/-e,3050,x,,,,,
Galvenais grāmatvedis/-e,2800,x,,,,,
Galvenais grāmatvedis/-e,3000,x,,,,,
Galvenais grāmatvedis/-e,3050,x,,,,,
Galvenais grāmatvedis/-e,2800,x,,,,,
Galvenais jurists/-e,1650,x,,,,,
Galvenais redaktors/-e,2100,x,,,,,
Galvenais ārsts/-e Cēsu klīnikā,3900,x,,,,,
Galvenais/-ā Grāmatvedis/-e,2750,x,,,,,
Galvenais/-ā Grāmatvedis/-e,2750,x,,,,,
"Galvenais/-ā biznesa analītiķis/-e, finanšu speciālists/-e",2250,x,,,,,
Galvenā grāmatveža assistents/-e,1725,x,,,,,
German Speaking Commercial Representative Baltics / Pārdošanas speciālists/-e Baltijā,2500,,,,,x,
German Speaking Commercial Representative Baltics / Pārdošanas speciālists/-e Baltijā,2500,,,,,x,
"Governance, Risk and Control Analyst / Pārvaldības, risku un kontroles analītiķis/-e",3250,,,,,x,
Grafiskais dizaineris/-e,1500,x,,,,,
Grafiskais dizaineris/-e,1500,x,,,,,
Graudu iepirkumu speciālists/-e Latgales reģionā,2000,x,,,,,
Grāmatvedis/-e,1600,x,,,,,
Grāmatvedis/-e,1200,x,,,,,
Grāmatvedis/-e,1600,x,,,,,
Grāmatvedis/-e,1300,x,,,,,
Grāmatvedis/-e,1550,x,,,,,
Grāmatvedis/-e,1750,x,,,,,
Grāmatvedis/-e,2000,x,,,,,
Grāmatvedis/-e,1500,x,,,,,
Grāmatvedis/-e,1960,x,,,,,
Grāmatvedis/-e,1500,x,,,,,
Grāmatvedis/-e,1600,x,,,,,
Grāmatvedis/-e,1650,x,,,,,
Grāmatvedis/-e,1500,x,,,,,
Grāmatvedis/-e,2000,x,,,,,
Grāmatvedis/-e,1650,x,,,,,
Grāmatvedis/-e,1500,x,,,,,
Grāmatvedis/-e,2000,x,,,,,
Grāmatvedis/-e (Jelgavā),1250,x,,,,,
Grāmatvedis/-e - analītiķis/-e,1900,x,,,,,
Grāmatvedis/-e PwC Nodokļu pārvaldības un grāmatvedības komandā,1650,x,,,,,
Grāmatvedis/-e ar SAP zināšanām,2300,x,,,,,
Grāmatvedis/e,2100,x,,,,,
Grāmatvedis/e,2400,x,,,,,
Grāmatveža palīgs/-dze - Rēķinvedis/-e,1260,x,,,,,
HR Biznesa partneris/-e (uz noteiktu laiku),2400,x,,,,,
HR Speciālists/-e,2000,x,,,,,
HR Speciālists/-e,2000,x,,,,,
"HSH Chemie Pārdošanas speciālists/-e (Pārtika, Farmācija un Lopbarība izejvielas)",2500,x,,,,,
Help desk speciālists(-e),1557,x,,,,,
Help desk speciālists(-e),1557,x,,,,,
Hidroloģijas būvinženieris/-e,2450,x,,,,,
HoReCa tirdzniecības pārstāvis/-e Rīgā,2000,x,,,,,
HoReCa tirdzniecības pārstāvis/-e Rīgā,2000,x,,,,,
IGLU B2B pārdošanas speciālists/-e,2750,x,,,,,
IKT & IoT biznesa virziena attīstības vadītājs/-a,3500,x,,,,,
IKT & IoT biznesa virziena attīstības vadītājs/-a,3500,x,,,,,
IQOS veikala konsultants/ -e (t/c Spice),280,x,,,,,
"IQOS veikala konsultants/ -e Ogrē, t/c Dauga (darbs uz noteiktu laiku)",280,x,,,,,
"IQOS veikala konsultants/ -e Tukumā, t/c Elvi (darbs uz noteiktu laiku)",240,x,,,,,
IS lietotāju atbalsta speciālists/-e,1600,x,,,,,
ISO kvalitātes vadītājs/-a,2100,x,,,,,
IT Business Analyst / IT biznesa analītiķis/-e,3500,x,,,,,
IT Nodaļas Vadītājs/-a,5250,x,,,,,
IT Sistēmanalītiķis/-e,2650,x,,,,,
IT Sistēmanalītiķis/-e,2650,x,,,,,
IT atbilstības speciālists(-e),3250,x,,,,,
IT biznesa analītiķis/-e,2220,x,,,,,
IT biznesa programmatūras atbalsta daļas vadītājs/-a,3500,x,,,,,
IT drošības operāciju vadītājs/-a,4750,x,,,,,
IT drošības speciālists/-e,3500,x,,,,,
IT drošības speciālsts/-e,3600,x,,,,,
IT projektu koordinators/-e,2700,x,,,,,
IT projektu vadītājs(-a),3250,x,,,,,
IT projektu vadītājs/-a,3500,x,,,,,
IT projektu vadītājs/-a,2910,x,,,,,
IT projektu vadītājs/-a,3400,x,,,,,
IT projektu vadītājs/-a,3400,x,,,,,
IT risinājumu pārdošanas speciālists/-e,2100,x,,,,,
IT risinājumu un integrāciju inženieris/-e,6250,x,,,,,
IT sistēmu administrators/-e,2000,x,,,,,
IT sistēmu apkalpošanas speciālists/-e,1650,x,,,,,
IT sistēmu atbalsta speciālists/-e,1900,x,,,,,
IT sistēmu inženieris/-e (Azure Analytics / Power Platform),4500,x,,,,,
IT sistēmu projektu vadītājs/-a,2150,x,,,,,
IT speciālists/-e,2200,x,,,,,
Iekšējā audita nodaļas vadītāja vietnieks/-ce,2375,x,,,,,
Iepakošanas ceha un noliktavas vadītājs/-a,2750,x,,,,,
Iepakošanas ceha un noliktavas vadītājs/-a,2750,x,,,,,
Iepircējs/-a,2250,x,,,,,
Iepircējs/-a,2250,x,,,,,
Iepirkuma speciālists/-e,1150,x,,,,,
Iepirkuma speciālists/-e / Rezerves daļu pircējs/-a,2250,x,,,,,
Iepirkuma speciālists/-e / Rezerves daļu pircējs/-a,2250,x,,,,,
Iepirkumu (sagādes) nodaļas asistents/-e,1500,x,,,,,
Iepirkumu nodaļas vadītāja vietnieks/-ce,1633,x,,,,,
Iepirkumu speciālists/-e,1600,x,,,,,
Iepirkumu speciālists/-e,1700,x,,,,,
Iepirkumu speciālists/-e dizaina un būvniecības sfērā,2350,x,,,,,
Iepirkumu un plānošanas profesionālis/e,1950,x,,,,,
Iepirkumu un plānošanas profesionālis/e,1950,x,,,,,
Iepirkumu un sortimenta speciālists/-e,1350,x,,,,,
Iepirkumu un sortimenta speciālists/-e,1350,x,,,,,
"Ikdienas pakalpojumu konsultants/-e  | SEB, Rīga",1300,x,,,,,
Ilgtspējas eksperts/-e,1700,x,,,,,
Ilgtspējas eksperts/-e,1700,x,,,,,
Ilgtspējas vadītājs/-a,3125,x,,,,,
Importa speciālists/-e,1585,x,,,,,
Incidentu un drošības risku analītiķis/-e,2200,x,,,,,
Informācijas sistēminženieris/-e,280,x,,,,,
Informācijas sistēmu administrators/-e,3150,x,,,,,
Informācijas sistēmu drošības pārvaldnieks/-ce,2350,x,,,,,
Informācijas sistēmu drošības pārvaldnieks/-ce,2350,x,,,,,
Informācijas sistēmu testētājs/-a,2000,x,,,,,
Informācijas tehnoloģiju attīstības daļas vadītājs/-a,2865,x,,,,,
Informācijas tehnoloģiju attīstības projektu vadītājs/-a,3500,x,,,,,
Informācijas tehnoloģiju drošības analītiķis/-e,2275,x,,,,,
Informācijas tehnoloģiju struktūrvienības vadītājs/-a,4800,x,,,,,
Informācijas tehnoloģiju struktūrvienības vadītājs/-a,4800,x,,,,,
Inovāciju Projektu Vadītājs/-a,2350,x,,,,,
Inventarizators/-re,1000,x,,,,,
